99 6 1
99 8 1
165 10 1
375 12 1
314 14 1
99 16 1
99 18 1
99 20 1
99 22 1
99 6 2
166 8 2
321 10 2
99 12 2
200 14 2
99 16 2
183 18 2
338 20 2
99 22 2
99 6 3
99 8 3
493 10 3
263 12 3
99 14 3
489 16 3
66 18 3
299 20 3
99 22 3
99 6 4
84 8 4
426 10 4
472 12 4
99 14 4
99 16 4
6 18 4
99 20 4
99 22 4
99 6 5
408 8 5
129 10 5
99 12 5
99 14 5
109 16 5
262 18 5
99 20 5
99 22 5
99 6 6
99 8 6
203 10 6
140 12 6
23 14 6
140 16 6
99 18 6
112 20 6
99 22 6
99 6 7
428 8 7
151 10 7
99 12 7
99 14 7
99 16 7
358 18 7
99 20 7
99 22 7
99 6 8
113 8 8
99 10 8
316 12 8
358 14 8
204 16 8
99 18 8
406 20 8
99 22 8
99 6 9
99 8 9
423 10 9
486 12 9
99 14 9
99 16 9
99 18 9
433 20 9
99 22 9
99 6 10
330 8 10
99 10 10
261 12 10
99 14 10
8 16 10
92 18 10
400 20 10
99 22 10
99 6 11
99 8 11
99 10 11
309 12 11
99 14 11
99 16 11
99 18 11
326 20 11
99 22 11
99 6 12
99 8 12
219 10 12
377 12 12
336 14 12
460 16 12
497 18 12
439 20 12
99 22 12
99 6 13
9 8 13
99 10 13
117 12 13
99 14 13
99 16 13
99 18 13
99 20 13
99 22 13
99 6 14
428 8 14
206 10 14
99 12 14
412 14 14
171 16 14
99 18 14
468 20 14
99 22 14
